List of Sophie Germain primes from 1 to 100000.,,,,,,,,,,,,,,,,,,,,,,,,,
A prime number n is a Sophie Germain prime if 2n + 1 is also prime,,,,,,,,,,,,,,,,,,,,,,,,,
n,2n+1,,,,,,,,,,,,,,,,,,,,,,,,
2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
5.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
11.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,
23.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,
29.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,
41.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,
53.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,
83.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,
89.0,179.0,,,,,,,,,,,,,,,,,,,,,,,,
113.0,227.0,,,,,,,,,,,,,,,,,,,,,,,,
131.0,263.0,,,,,,,,,,,,,,,,,,,,,,,,
173.0,347.0,,,,,,,,,,,,,,,,,,,,,,,,
179.0,359.0,,,,,,,,,,,,,,,,,,,,,,,,
191.0,383.0,,,,,,,,,,,,,,,,,,,,,,,,
233.0,467.0,,,,,,,,,,,,,,,,,,,,,,,,
239.0,479.0,,,,,,,,,,,,,,,,,,,,,,,,
251.0,503.0,,,,,,,,,,,,,,,,,,,,,,,,
281.0,563.0,,,,,,,,,,,,,,,,,,,,,,,,
293.0,587.0,,,,,,,,,,,,,,,,,,,,,,,,
359.0,719.0,,,,,,,,,,,,,,,,,,,,,,,,
419.0,839.0,,,,,,,,,,,,,,,,,,,,,,,,
431.0,863.0,,,,,,,,,,,,,,,,,,,,,,,,
443.0,887.0,,,,,,,,,,,,,,,,,,,,,,,,
491.0,983.0,,,,,,,,,,,,,,,,,,,,,,,,
509.0,1019.0,,,,,,,,,,,,,,,,,,,,,,,,
593.0,1187.0,,,,,,,,,,,,,,,,,,,,,,,,
641.0,1283.0,,,,,,,,,,,,,,,,,,,,,,,,
653.0,1307.0,,,,,,,,,,,,,,,,,,,,,,,,
659.0,1319.0,,,,,,,,,,,,,,,,,,,,,,,,
683.0,1367.0,,,,,,,,,,,,,,,,,,,,,,,,
719.0,1439.0,,,,,,,,,,,,,,,,,,,,,,,,
743.0,1487.0,,,,,,,,,,,,,,,,,,,,,,,,
761.0,1523.0,,,,,,,,,,,,,,,,,,,,,,,,
809.0,1619.0,,,,,,,,,,,,,,,,,,,,,,,,
911.0,1823.0,,,,,,,,,,,,,,,,,,,,,,,,
953.0,1907.0,,,,,,,,,,,,,,,,,,,,,,,,
1013.0,2027.0,,,,,,,,,,,,,,,,,,,,,,,,
1019.0,2039.0,,,,,,,,,,,,,,,,,,,,,,,,
1031.0,2063.0,,,,,,,,,,,,,,,,,,,,,,,,
1049.0,2099.0,,,,,,,,,,,,,,,,,,,,,,,,
1103.0,2207.0,,,,,,,,,,,,,,,,,,,,,,,,
1223.0,2447.0,,,,,,,,,,,,,,,,,,,,,,,,
1229.0,2459.0,,,,,,,,,,,,,,,,,,,,,,,,
1289.0,2579.0,,,,,,,,,,,,,,,,,,,,,,,,
1409.0,2819.0,,,,,,,,,,,,,,,,,,,,,,,,
1439.0,2879.0,,,,,,,,,,,,,,,,,,,,,,,,
1451.0,2903.0,,,,,,,,,,,,,,,,,,,,,,,,
1481.0,2963.0,,,,,,,,,,,,,,,,,,,,,,,,
1499.0,2999.0,,,,,,,,,,,,,,,,,,,,,,,,
1511.0,3023.0,,,,,,,,,,,,,,,,,,,,,,,,
1559.0,3119.0,,,,,,,,,,,,,,,,,,,,,,,,
1583.0,3167.0,,,,,,,,,,,,,,,,,,,,,,,,
1601.0,3203.0,,,,,,,,,,,,,,,,,,,,,,,,
1733.0,3467.0,,,,,,,,,,,,,,,,,,,,,,,,
1811.0,3623.0,,,,,,,,,,,,,,,,,,,,,,,,
1889.0,3779.0,,,,,,,,,,,,,,,,,,,,,,,,
1901.0,3803.0,,,,,,,,,,,,,,,,,,,,,,,,
1931.0,3863.0,,,,,,,,,,,,,,,,,,,,,,,,
1973.0,3947.0,,,,,,,,,,,,,,,,,,,,,,,,
2003.0,4007.0,,,,,,,,,,,,,,,,,,,,,,,,
2039.0,4079.0,,,,,,,,,,,,,,,,,,,,,,,,
2063.0,4127.0,,,,,,,,,,,,,,,,,,,,,,,,
2069.0,4139.0,,,,,,,,,,,,,,,,,,,,,,,,
2129.0,4259.0,,,,,,,,,,,,,,,,,,,,,,,,
2141.0,4283.0,,,,,,,,,,,,,,,,,,,,,,,,
2273.0,4547.0,,,,,,,,,,,,,,,,,,,,,,,,
2339.0,4679.0,,,,,,,,,,,,,,,,,,,,,,,,
2351.0,4703.0,,,,,,,,,,,,,,,,,,,,,,,,
2393.0,4787.0,,,,,,,,,,,,,,,,,,,,,,,,
2399.0,4799.0,,,,,,,,,,,,,,,,,,,,,,,,
2459.0,4919.0,,,,,,,,,,,,,,,,,,,,,,,,
